time,pelvis_tx,pelvis_ty,pelvis_tilt,q_hip_r,q_knee_r,q_ankle_r,q_hip_l,q_knee_l,q_ankle_l
0.0,-1.5000000000000002e-05,0.0317366182432357,-0.033227279738741,0.3333710235663167,-0.0785095471819276,-0.0391859737656153,-0.1689449760905069,-0.2486767802854555,0.1486349462440569
0.01,0.0018784965256655,0.0308604000754483,-0.0292553598988357,0.3280790723050614,-0.0988176852197669,-0.0615950945715872,-0.1732701538378428,-0.2724896451557727,0.1415253306515777
0.02,0.0039275412640836,0.0301248728540476,-0.025240706410576,0.3220991305058374,-0.1191355470849445,-0.0781334749138744,-0.1755418209885311,-0.2998519173258261,0.1317299411739098
0.03,0.0059678830558608,0.0295445426663327,-0.0215421425747108,0.3179325029022808,-0.143640120702429,-0.0842504239598767,-0.1747216964908091,-0.3315906632408513,0.1188851044047053
0.04,0.00810393592789,0.0291617372538488,-0.0178515991296551,0.3141340498423584,-0.1705066709386222,-0.0788818837055112,-0.1710786182002892,-0.3676431193746947,0.1018277131286265
0.05,0.010468543806196,0.0290240884475198,-0.0138144860380912,0.30775018085801,-0.1941183161157116,-0.0699705745721362,-0.1650578275553415,-0.4076042584119876,0.0790021967016682
0.06,0.0126910990033964,0.0291076132366851,-0.0103147187128982,0.30202671821911,-0.2184922137116088,-0.0546960608539732,-0.1545761882428903,-0.4526385867181673,0.0494450000449452
0.07,0.0144604703101985,0.0293751827093571,-0.008048690896431,0.2996208502815776,-0.2469294609431071,-0.0312529835102622,-0.1382312489712088,-0.5028724906846765,0.0116658087453273
0.08,0.0161185651310818,0.0298411570073229,-0.0060579732998836,0.2954145776354555,-0.2710554023107154,-0.0101632186066934,-0.1183572315327198,-0.5553340226863992,-0.0369593784103405
0.09,0.017670827085158,0.0304731288376535,-0.0042418568508955,0.2888779254256288,-0.2899367088839366,0.0069081258015116,-0.0959351999385174,-0.6074253414155704,-0.0991777164255508
0.1,0.0190632193947205,0.0312330797838502,-0.002686060971427,0.2804183445858184,-0.3040116637932347,0.0210105869446135,-0.0720493442340311,-0.6559230649647211,-0.1768608570055024
0.11,0.0202438283800161,0.0320164532542048,-0.001413853883071,0.2706514640415375,-0.3144421980785033,0.0339254703563974,-0.0471498233645437,-0.7019164284089081,-0.2570944957651704
0.12,0.0212073020794854,0.0326940867122135,-0.0002914184071617,0.2599793612354066,-0.322352567134245,0.0472102768907526,-0.021063536223719,-0.7511661665377689,-0.3111311270204727
0.13,0.022022712221978,0.0333085968025195,0.0008575218861007,0.2480497399976148,-0.3275898491856074,0.0607522767990937,0.0056328376466749,-0.8034032295132555,-0.3381089832124292
0.14,0.0226650819456637,0.0339146212910272,0.0019235986620087,0.2349212751541133,-0.3300319228264996,0.0741638397065512,0.0329450875260291,-0.8569995395025696,-0.3451096762781511
0.15,0.0230597141605561,0.0345594250771929,0.0026559841892981,0.2210270059111423,-0.3298344207663216,0.0867788902185988,0.0612082093332775,-0.910081375695898,-0.3402501996804973
0.16,0.0232189371470122,0.0352743859234031,0.0030429766575377,0.2065189545887608,-0.3272966955951445,0.0980897484596238,0.0901038247368616,-0.9610435512476284,-0.3290664855049466
0.17,0.0231849387114662,0.036086504197787,0.0031382548424786,0.1912531684926988,-0.322303869166911,0.1078095231851587,0.1190501295318194,-1.0080228599065977,-0.3144078214687312
0.18,0.0229806796922726,0.0370073544194952,0.0029508831153967,0.1752874613096255,-0.3149693391660329,0.1155837858748032,0.1475736356217153,-1.049639833136116,-0.2949146152281408
0.19,0.0226462795902594,0.0380517963791547,0.0025334569731799,0.1586779575726919,-0.3055310299755737,0.1210771300676995,0.1748324945096417,-1.0833112158805631,-0.2719025892875096
0.2,0.0222194282190775,0.0392280498060117,0.0019555096730129,0.1416074950437629,-0.2944172992230677,0.1236234225833024,0.1999125331529375,-1.106410364134985,-0.2466395052906047
0.21,0.0216661577569233,0.040501116804891,0.0011698877745714,0.1248768607800934,-0.2829185154916482,0.1231241295173592,0.2229073092646411,-1.1191151117788831,-0.2184999859565295
0.22,0.0210120435983744,0.0418304371699052,0.0002804574441091,0.1086521877395694,-0.2718320219916361,0.1213707567551912,0.2437013854934762,-1.1216230666765434,-0.1892389252708783
0.23,0.0203188692190873,0.0431759241130305,-0.0005524676906161,0.0924116106250749,-0.2608682273094891,0.1202072104219058,0.2621534311869484,-1.1145368759932193,-0.1604124437670769
0.24,0.0196015979768585,0.0444907106194893,-0.0013008686474074,0.0759035904709786,-0.2496367346402705,0.1196949384746391,0.2785262806825093,-1.0991382740628983,-0.1332017613162131
0.25,0.0188427244946215,0.0457236436059308,-0.0020255771065872,0.0592214090403951,-0.238103785961991,0.1193558453208945,0.2932171934585557,-1.076999860942203,-0.1058398495238465
0.26,0.018060343456045,0.0468480865096906,-0.0027022817507748,0.0420984612802972,-0.2257779547514572,0.1187464991507836,0.3062522803043043,-1.048139301490554,-0.0846016892843946
0.27,0.0172271375139251,0.0478171375261409,-0.0034209584000743,0.0247762755101765,-0.2128968674116702,0.1178782298752364,0.3180471066288995,-1.014271192381642,-0.0652875528393626
0.28,0.016269648219848,0.0486144891667692,-0.0044054020903069,0.0081017163903578,-0.2004790213134774,0.1168538626256539,0.3287262684469813,-0.9749795670119676,-0.0492050399351276
0.29,0.0150522747947338,0.0492103449306554,-0.0060248678541761,-0.0064091651066553,-0.1904904318109625,0.1162317657185803,0.3390620980964643,-0.9314548507183156,-0.0335894906458751
0.3,0.0135357069117751,0.0495988433449546,-0.0084077146050298,-0.018297732842292,-0.1835143685800581,0.116304674482147,0.3491970879168091,-0.8836690614842213,-0.0212732107068699
0.31,0.0116932145458559,0.0497594510884606,-0.0116427342304613,-0.0273079537625273,-0.1798473733837441,0.1174279772918416,0.3596194045114371,-0.8332549702746913,-0.0098442123551606
0.32,0.0097073311896462,0.0497085020044328,-0.0153041222740487,-0.0351966542315467,-0.1773194654703131,0.1191500902266533,0.3689923919773671,-0.7786913209213866,-0.0014056882221256
0.33,0.0078879675221392,0.0494694332313455,-0.0186462216929785,-0.0451932929564155,-0.1716981507972519,0.1204171379706161,0.3754053794351362,-0.7184695240173177,0.0040199760262923
0.34,0.00614147192891,0.0490361304350504,-0.021929099738068,-0.0560895707294621,-0.1646368917543368,0.1216252878443526,0.3794300629217128,-0.653525537872293,0.0085003533820676
0.35,0.0043285366319672,0.0484279820415606,-0.0255431938638968,-0.0660447035252035,-0.1586436034977383,0.1232565012573298,0.3812150822871844,-0.5823006207418995,0.0072204894601312
0.36,0.0024583345547973,0.0476376887528561,-0.0294647555981154,-0.0749207059663647,-0.1540699101693379,0.1254974170055535,0.3813956529491956,-0.5069505080476886,-0.0001154697171595
0.37,0.0006392008082667,0.0466653703570987,-0.033416941892983,-0.0831477533280981,-0.1508572783666442,0.1284382545872352,0.3798034421578296,-0.4293962450503293,-0.0073494495205365
0.38,-0.0010175574501669,0.0455235344979568,-0.0370987940708948,-0.09111718171242,-0.1490324246030442,0.132012348007852,0.3763631167427195,-0.3519033052067273,-0.0114434817865409
0.39,-0.002452251264267,0.0442381307608112,-0.0403304667517096,-0.0989244981366735,-0.1488566507026951,0.1360959044484952,0.3714644386882602,-0.2769940012938613,-0.0143576969831281
0.4,-0.0036040913851615,0.0428375714940623,-0.0429206088589801,-0.1067316732875692,-0.1504755625191597,0.1405131046439831,0.3657667636925117,-0.208291752436568,-0.0134196444302518
