time,force_r_x,force_r_y,cop_r_x,force_l_x,force_l_y,cop_l_x
0.0,-7.648758154993975,20.37551220774056,0.1781032157699118,133.6935439707773,1054.4771345310137,-0.1471703781354221
0.01,12.360944709648686,48.72307212414704,0.2093802276726239,147.3551324735249,1043.02603490527,-0.1569507111558667
0.02,25.1409584811072,115.19368743187944,0.1910342773140462,160.8359639655505,1018.855431565556,-0.1662860505124871
0.03,28.907131012212897,197.4049516035703,0.1726756475618797,173.75509019098374,978.4904807821983,-0.17498880933246
0.04,16.51762005840674,293.72910380141496,0.1540851527144605,184.17704645432903,918.9986508479278,-0.1829805255983015
0.05,-9.921490260326678,387.74532054387953,0.1404935626659513,189.02656574727777,839.2373001908495,-0.1903203847677833
0.06,-36.57654487574379,494.57860749195635,0.1452968294177311,186.73288077634436,738.4602315199361,-0.1968485350073214
0.07,-66.5036218118014,605.4503532914617,0.1628300635525254,174.22618722651262,620.1276175912907,-0.2028490206682135
0.08,-93.55487931687752,691.7695726976334,0.1753619271310455,150.57503675319072,489.7788667208789,-0.2087463552053838
0.09,-114.14178555036848,773.6669413832225,0.1877569384413088,116.01687497625062,361.9246544484944,-0.2169041374253643
0.1,-130.09978411626295,845.8088667061936,0.1963687760098293,74.82200269647724,244.09214193234868,-0.2302150709349829
0.11,-140.9904317224989,904.5739952941166,0.1990588339955894,28.17967881482216,110.45105801193928,-0.3264882675293319
0.12,-145.98843322988583,955.2838416330802,0.19505845145843,-3.6136367006167704,3.585150129018838,-0.413562067213143
0.13,-147.40853871689353,1000.382298321402,0.1865547143252047,-0.5585670983402778,0.5286254385294543,-0.3091882405160167
0.14,-145.13954697364923,1037.9141177523356,0.1751371373479958,-0.0873834263524099,0.0573913167490816,-0.3034716644344018
0.15,-139.2211667971123,1065.2533446855855,0.1630040411183552,0.0466185770804581,-0.0766179049922635,-0.2971638743063378
0.16,-131.7711301923653,1081.3789812449525,0.1516792273825125,0.0960190992833019,-0.1260201028872274,-0.2900563120501496
0.17,-123.06270688270617,1086.0407951897253,0.1414125126762589,0.1033407885800111,-0.1333421490591522,-0.2820201209652136
0.18,-113.37936984591444,1079.7073867587007,0.133218972539669,0.0854000904225021,-0.1154014286398876,-0.2730582694739338
0.19,-103.5710661567894,1060.102701101124,0.1283057233567164,0.0325775942045541,-0.0625785728432316,-0.2630487299343269
0.2,-94.12569473075602,1032.577566468223,0.1289566751484638,-0.0570673399067863,0.0270669485309264,-0.2518688559678603
0.21,-85.36591257551217,999.6396355566212,0.1359739440675487,-0.1591624321138068,0.1291625792299308,-0.2395500599257025
0.22,-77.28302945099466,962.428564898644,0.1407271774260697,-0.2776835247132735,0.2476842168546734,-0.2260412275432371
0.23,-70.05033264829304,930.1772140301834,0.1354251679231388,-0.4123904951094066,0.3823917280389614,-0.2112963349691272
0.24,-61.6100142043035,899.7856416886079,0.1253747727260376,-0.5622936767160039,0.5322954288480246,-0.1952889476585115
0.25,-53.91789318238954,871.2408297123194,0.1143091138854393,-0.722240457247075,0.6922426627138437,-0.1780931241420892
0.26,-47.05566395685185,846.3741071052682,0.102951850931803,-0.943446964485632,0.9134498028835756,-0.1594776840182702
0.27,-41.41856320768387,826.1307812395133,0.0914118735648022,-1.1916442830378868,1.161647716165937,-0.2218030205201462
0.28,-36.91772893356731,810.9982010317972,0.0797573278290595,-1.5541974017053626,1.5242016557613762,-0.2005237384769528
0.29,-32.51244708065657,801.0465290153397,0.0681068865164777,-2.015629051741487,1.9856342554465252,-0.1643647781121096
0.3,-29.26612545112717,796.0280956513404,0.0563486200149699,-2.7616070868526297,2.7316138862330925,-0.1259861437608757
0.31,-25.849421036180015,795.4666990164018,0.0446315907950623,-3.7942671050747,3.764276099169832,-0.0854842580914081
0.32,-21.796968188416376,799.0884424696211,0.0329872729696114,-5.6778807722875335,5.6478938206189,-0.0426021477209538
0.33,-17.853365409929186,806.555179098437,0.0213434117618383,-9.009698248271262,8.979718410243784,0.0022302519926203
0.34,-12.218528752152473,817.1590684713693,0.0098991779074184,-10.70262620813646,10.672649825846593,0.0455872861691641
0.35,-7.0807288615722115,831.4609375630145,-0.0015847311741832,-9.020535976625032,8.990555743786219,0.0836766887335238
0.36,-0.5719366257757729,849.1674203876914,-0.0129178064482998,-5.67094537613524,5.640958066545783,0.1064631016222591
0.37,6.809655433516957,868.1015135370817,-0.0241674774782046,-3.2805072550740517,3.2505148893216576,0.0996332616371973
0.38,14.495988058106716,888.5056911115973,-0.0353948472728981,-2.489691911241714,2.4596980934922676,0.075905773187981
0.39,22.482166209671593,910.3232930118096,-0.0466080583006897,-2.504458291832659,2.474465150024483,0.0699004277379133
0.4,32.40091919892799,932.7799910930934,-0.0576399130110992,-2.74007052208806,2.7100792017966753,0.0780828897013372
0.41,43.61017815013761,955.2197280044816,-0.068554710479779,-3.048959692550942,3.018971484942609,0.0937480700858971
0.42,54.45372310028982,977.412745762432,-0.0795151736527396,-3.4294524381755007,3.399469642485505,0.1097990161935531
0.43,65.09854043402008,998.7306838055022,-0.0904833065455176,-3.86530057552848,3.8353282133002407,0.126322885972092
0.44,76.52542407407792,1017.6791465258018,-0.1013416522382953,-4.530650911124837,4.5007029169624975,0.1389368127689269
0.45,88.6384717475512,1033.5648226893954,-0.1120763746939007,-5.630333506792228,5.6004575432168595,0.1464280807070297
0.46,101.207130164027,1046.1018866517554,-0.122680569025313,-7.510700309160601,7.48112929676809,0.1479343146189396
0.47,114.47714658761852,1053.789918941363,-0.1330880765579393,-10.814119256932004,10.78741790281792,0.143207429149321
0.48,127.73222070271764,1055.5365616990543,-0.1433295794048039,-9.124484613876376,16.899088420320407,0.1641655481158956
0.49,141.20962795151556,1048.8264940549966,-0.1532844754645706,4.551652638105558,35.80711947986666,0.1993759077621399
0.5,155.10007365660434,1030.3877856754275,-0.1627869350956993,20.631845793375977,85.99411252190515,0.199739371019041
0.51,168.0426532573061,997.1984173384272,-0.1718064883106534,28.263655777387328,161.0451834901784,0.181201846222105
0.52,179.7657656724215,946.2001951041918,-0.1801010520575712,22.813091275503577,252.45756794637492,0.1625343461762637
0.53,187.62070287541937,875.3493129979692,-0.1876741977592909,2.6452533708776955,347.36845701330367,0.146583996781655
0.54,188.95234855022392,784.0475020866163,-0.1945300264178716,-24.27301290304373,448.8084457571654,0.1471526745785245
0.55,181.0286774743447,672.8390353251317,-0.2007528105895981,-54.420488246961995,561.2142377741253,0.1640144943277886
0.56,161.99781761025716,545.4802146269876,-0.2065701515887736,-83.52064067106099,656.4536647678132,0.177044799875887
0.5700000000000001,131.4214961616636,415.0397196816804,-0.2134853165531658,-106.38653764480384,742.17610499986,0.1857292344863676
0.58,92.01400058350022,293.801927668148,-0.2244115525590373,-123.122903428234,817.9260238185984,0.1934681547858131
0.59,49.85152788879933,177.78224875316792,-0.2409856896657075,-137.09527375477057,881.5189442366868,0.1970661674063765
0.6,-2.747609576679546,13.244224478301348,-0.4677786932575059,-144.97832261200222,936.0997227243056,0.1953687606917924
0.61,-0.9014144785765362,0.8715373626315096,-0.314310964608403,-147.27996514702687,983.2111116310772,0.1880058213560263
0.62,-0.1619438807012593,0.1319561575461292,-0.3060771105403443,-146.94561600143763,1024.2300897598377,0.179258210158227
0.63,0.0136022075474757,-0.0436003066179826,-0.2999696981923997,-142.0492323501053,1055.3307021991134,0.1676726576519643
0.64,0.0840677218888424,-0.1140683949606899,-0.2931505429036568,-134.66857301125086,1076.9844091500815,0.1569072836878506
0.65,0.1055759846079645,-0.1355773433642212,-0.2854864534812202,-126.98740882392912,1086.5214001427094,0.1461327021936918
0.66,0.0948356238688242,-0.1248369874672954,-0.276852169274468,-117.6108101294462,1084.1663905339012,0.1372607959283465
0.67,0.0613693898775574,-0.0913706192867014,-0.2673261611051436,-107.60948032770578,1070.2248131712167,0.1288464634367664
0.68,-0.0111594294089572,-0.0188412402491461,-0.2566272629577207,-97.79187175609393,1046.3254944686714,0.1240616291352456
0.6900000000000001,-0.1075445448726673,0.0775444324114505,-0.2447861299083213,-88.31107259786285,1014.1270538735548,0.1255618567264149
0.7000000000000001,-0.2198107699398387,0.1898112074408668,-0.2317636384294022,-79.74541633290715,980.1367365100318,0.1326811329662393
0.71,-0.3532911062109151,0.3232921157199775,-0.2174737428918033,-72.36015872704291,943.1463650223365,0.1368065651301892
0.72,-0.5036817099480162,0.4736832660140923,-0.2019002915956709,-64.71443249708139,912.1320417165992,0.1299163746277837
0.73,-0.6725225923146813,0.6425246737427632,-0.1850421353996741,-56.62341754539037,882.9763148101775,0.1194262859140377
0.74,-0.8686649212938615,0.838667534244547,-0.1669089116314532,-49.71101531763394,856.7380523021459,0.1082133335296857
0.75,-1.1042082236789044,1.0742114133223777,-0.1883546923767453,-43.18999958624645,834.699422626749,0.0968110331568319
0.76,-1.4111399091975518,1.3811438123969306,-0.2138611848853728,-38.22343501016509,817.549598735356,0.0852105507220481
0.77,-1.8029565322129877,1.772961283085456,-0.1783708285383669,-33.79646995009797,805.3867182031051,0.0735518653837496
0.78,-2.419437772770245,2.3894438870032584,-0.1409934368262366,-30.09444289703745,798.2854890419758,0.0618296932900885
0.79,-3.3952006523855234,3.365208942940709,-0.1016716531427029,-26.65240910892162,796.0486529214157,0.0501011818075273
0.8,-5.028273438554055,4.998285300630089,-0.0601332682704117,-22.9652493241562,797.6945027419798,0.0384133818609326
0.81,-7.437326353135621,7.407343448949711,-0.0169014243928097,-19.46614481428943,803.1768542316626,0.0267199438320771
0.8200000000000001,-9.783603335984171,9.75362540571421,0.0266075371414316,-14.940401636933316,812.523727736246,0.0151519729832191
0.8300000000000001,-10.181077184381232,10.15109994191292,0.0679478508144857,-9.48851100763802,825.489085096899,0.0036973908246664
0.84,-7.20584631791917,7.175862374644994,0.0987487073710036,-3.9432406538410514,841.8778412521629,-0.0077399008920635
0.85,-4.320173123403908,4.290182894115164,0.1094000967468934,3.245365491668781,860.1243676378618,-0.0190061232700153
0.86,-2.8022627934612903,2.772269435522793,0.0900692056217314,10.933140390826914,880.0641341875329,-0.0302282258125583
0.87,-2.4020838262154007,2.3720900357491033,0.0724777133728795,18.630327227298103,900.9454207371462,-0.0414642764445348
0.88,-2.5830155594891635,2.5530229900043127,0.066389563026414,27.42656989732448,922.8765782295934,-0.052603486367279
0.89,-2.949228777457435,2.919238883033805,0.0839494420217074,38.570689254950864,945.6871207039652,-0.0635164159420234
0.9,-3.2307360917142223,3.200750204603732,0.1042304301471191,49.1824282471144,967.8799329623728,-0.0744960054158456
0.91,-3.5641857164067763,3.5342067634380037,0.1209094742048034,60.25836744237751,989.6137949914964,-0.0854293107179165
0.92,-4.051765462786983,4.021801043761909,0.1352826054844698,71.97180012357653,1010.144325936803,-0.0962774000370456
0.93,-4.895426657157735,4.865500833544845,0.1450296571609755,83.46943474959959,1027.3638603111965,-0.1071045134548462
0.94,-6.4017553242423295,6.371969597943578,0.1486870389675475,95.74208271888416,1041.5258162715504,-0.1177822275026544
0.95,-8.96807988774083,8.939315387060953,0.1463194586464904,108.5921531126174,1051.7551706996196,-0.1282955506623732
0.96,-7.638758154993975,20.38551220774056,0.1781132157699118,133.7035439707773,1054.4871345310137,-0.1471603781354221
0.97,12.370944709648686,48.73307212414704,0.2093902276726239,147.36513247352488,1043.03603490527,-0.1569407111558668
0.98,25.150958481107203,115.20368743187944,0.1910442773140462,160.84596396555048,1018.865431565556,-0.1662760505124871
0.99,28.9171310122129,197.4149516035703,0.1726856475618796,173.76509019098373,978.5004807821985,-0.1749788093324601
1.0,16.527620058406743,293.73910380141496,0.1540951527144605,184.18704645432905,919.0086508479278,-0.1829705255983016
1.01,-9.911490260326678,387.7553205438795,0.1405035626659513,189.0365657472777,839.2473001908495,-0.1903103847677833
1.02,-36.566544875743794,494.58860749195634,0.1453068294177311,186.74288077634435,738.4702315199361,-0.1968385350073214
1.03,-66.49362181180139,605.4603532914617,0.1628400635525254,174.2361872265126,620.1376175912907,-0.2028390206682135
1.04,-93.54487931687753,691.7795726976334,0.1753719271310455,150.5850367531907,489.7888667208789,-0.2087363552053838
1.05,-114.13178555036846,773.6769413832225,0.1877669384413088,116.02687497625062,361.9346544484944,-0.2168941374253643
1.06,-130.08978411626296,845.8188667061936,0.1963787760098293,74.83200269647725,244.10214193234867,-0.2302050709349829
1.07,-140.9804317224989,904.5839952941166,0.1990688339955894,28.18967881482216,110.46105801193929,-0.3264782675293319
1.08,-145.97843322988584,955.2938416330802,0.19506845145843,-3.60363670061677,3.595150129018838,-0.4135520672131429
1.09,-147.39853871689354,1000.392298321402,0.1865647143252047,-0.5485670983402778,0.5386254385294543,-0.3091782405160166
1.1,-145.12954697364924,1037.9241177523356,0.1751471373479958,-0.0773834263524099,0.0673913167490816,-0.3034616644344018
1.11,-139.2111667971123,1065.2633446855857,0.1630140411183552,0.0566185770804581,-0.0666179049922635,-0.2971538743063378
